#        name,          rb,          rb_err
              HD37548   ,   5.982,   1.128
              HD37962   ,   7.891,   1.169
              HD37986   ,   2.564,   1.036
              HD37990   ,   8.790,   0.714
              HD38078   ,   7.582,   2.256
              HD3823    ,   8.741,   1.257
              HD38265   ,   4.627,   3.322
              HD38277   ,   5.416,   2.034
              HD38382   ,   7.622,   0.707
              HD38385   ,   7.799,   0.690
              HD38510   ,   5.803,   5.563
              HD38772   ,   9.077,   1.041
              HD38858   ,   8.230,   1.156
              HD38973   ,   7.109,   0.666
              HD39091   ,   6.618,   0.717
              HD40105   ,   5.158,   1.349
              HD40397   ,   1.005,   4.348
              HD40483   ,   8.888,   0.706
              HD40865   ,   7.579,   3.117
              HD41087   ,   6.959,   1.218
              HD41248   ,   7.398,   3.084
              HD41323   ,   9.213,   1.113
              HD4208    ,   2.841,   4.257
              HD4307    ,   7.906,   1.419
              HD4308    ,   1.949,   4.673
              HD43197   ,   1.515,   0.887
              HD44120   ,   6.063,   0.696
              HD44219   ,   3.992,   1.960
              HD44420   ,   3.960,   0.695
              HD44447   ,   7.906,   1.306
              HD44573   ,   4.621,   2.887
              HD44594   ,   5.729,   0.691
              HD45184   ,   7.240,   0.703
              HD45289   ,   3.810,   2.933
              HD45364   ,   6.680,   1.908
              HD457     ,   3.789,   0.672
              HD4597    ,   8.935,   2.131
              HD47186   ,   3.562,   0.831
              HD48115   ,   9.087,   0.943
              HD49035   ,   3.534,   0.855
              HD50806   ,   4.328,   1.959
              HD51608   ,   3.200,   3.510
              HD52265   ,   5.411,   0.683
              HD52449   ,   7.573,   0.671
              HD5349    ,   0.110,   1.458
              HD56274   ,   7.281,   4.257
              HD56380   ,   2.251,   4.782
              HD564     ,   9.596,   0.914
              HD59468   ,   4.771,   1.479
              HD59711A  ,   6.244,   1.847
              HD59984   ,  11.322,   3.071
              HD61051   ,   2.952,   3.831
              HD61383   ,   8.935,   3.018
              HD61902   ,  12.360,   1.638
              HD61986   ,   4.750,   4.335
              HD62128   ,   2.954,   0.787
              HD62849   ,  10.382,   0.711
              HD63685   ,   4.548,   2.139
              HD63754   ,   5.370,   0.712
              HD63765   ,   5.961,   2.384
              HD65562   ,   4.068,   3.516
              HD65907A  ,   9.948,   1.058
              HD65982   ,   6.902,   1.020
              HD66039   ,   6.732,   0.682
              HD66168   ,   9.219,   0.676
              HD66221   ,   3.634,   0.916
              HD66340   ,   4.122,   2.020
              HD66740   ,   8.253,   0.688
              HD6718    ,   6.142,   1.425
              HD6735    ,   8.872,   0.737
              HD67458   ,   9.280,   0.825
              HD68284   ,  11.390,   1.279
              HD68287   ,   7.860,   0.672
